U.S. Total,D,Yes,81282376,74222576,2890419,0.51,0.47,0.02,0.05,0.02,0.16,,,,,,,,,0.020994559,"136,639,848"
Arizona,D,Yes,1672143,1661686,53497,0.49,0.49,0.02,0,0.04,0.32,AZ,11,2,2,4,205,374,,-0.035455946,"2,573,165"
Florida,R,Yes,5297045,5668731,101680,0.48,0.51,0.01,-0.03,-0.02,0.18,FL,29,8,0,12,787,520,,-0.011986256,"9,420,039"
Georgia,D,Yes,2474507,2461837,62138,0.5,0.49,0.01,0,0.05,0.22,GA,16,7,1,13,734,419,,-0.051313427,"4,092,373"
Iowa,R,Yes,759061,897672,34138,0.45,0.53,0.02,-0.08,0.01,0.08,IA,6,5,4,19,536,223,,-0.094068381,"1,566,031"
Michigan,D,Yes,2804040,2649852,85410,0.51,0.48,0.02,0.03,0.03,0.15,MI,16,7,5,26,681,190,,-0.002230333,"4,799,284"
Minnesota,D,Yes,1717049,1484048,76023,0.52,0.45,0.02,0.07,0.06,0.11,MN,10,5,5,27,519,120,,0.015201305,"2,944,813"
Nevada,D,Yes,703486,669890,32000,0.5,0.48,0.02,0.02,0,0.25,NV,6,2,4,32,136,240,,0.024171284,"1,125,385"
New Hampshire,D,Yes,424921,365654,15607,0.53,0.45,0.02,0.07,0.07,0.08,NH,4,11,6,33,895,146,,0.003675957,"744,158"
North Carolina,R,Yes,2684292,2758775,81737,0.49,0.5,0.02,-0.01,0.02,0.17,NC,15,7,2,37,808,349,,-0.036552285,"4,741,564"
Ohio,R,Yes,2679165,3154834,88203,0.45,0.53,0.02,-0.08,0,0.08,OH,18,7,4,39,720,250,,-0.081295744,"5,496,487"
Pennsylvania,D,Yes,3459923,3378263,79397,0.5,0.49,0.01,0.01,0.02,0.13,PA,20,8,4,42,806,221,,-0.007183871,"6,115,402"
Texas,R,Yes,5259126,5890347,165583,0.47,0.52,0.02,-0.06,0.03,0.26,TX,38,3,0,48,444,471,,-0.089994276,"8,969,226"
Wisconsin,D,Yes,1630866,1610184,56991,0.49,0.49,0.02,0.01,0.01,0.11,WI,10,6,6,55,601,169,,-0.007643432,"2,976,150"
Alabama,R,Yes,849624,1441170,32488,0.37,0.62,0.01,-0.26,0.02,0.09,AL,9,6,1,1,674,424,,-0.277251466,"2,123,372"
